Blues
W. Classical/Art
Country
Easy Listening
Electronic
Folk
Gospel/Soul
Hip-hop/Rap
Instrumental
Jazz
Latin
Metal/Hardcore
Musical/Broadway
General Pop
Rhythm and Blues
Reggae
Rock
World Traditional
Other
